;5/3/22;6/3/22;7/3/22;8/3/22;9/3/22;10/3/22;11/3/22;12/3/22;13/3/22;14/3/22;15/3/22;16/3/22;17/3/22;18/3/22;19/3/22;20/3/22;21/3/22;22/3/22;23/3/22;24/3/22;25/3/22;26/3/22;27/3/22;28/3/22;29/3/22;30/3/22
Podcast;8;8;8;8;8;8;8;8;8;8;8;8;8;11;11;11;11;11;11;11;11;11;11;11;23;23
Rock Nacional;14;65;110;154;213;266;381;460;488;506;532;622;721;809;871;936;943;958;981;981;994;1012;1012;1021;1052;1110
Rock;4;4;4;4;4;4;12;17;17;17;17;17;17;17;17;17;17;17;19;19;38;45;45;45;80;80
Trap;3;3;3;3;3;3;3;3;3;3;3;3;3;12;12;12;12;12;12;12;13;21;21;21;21;21
Reggaeton;5;7;12;14;14;15;31;32;32;32;32;32;39;39;39;39;39;39;41;41;42;48;48;49;53;53
Cumbia;6;6;6;6;7;8;15;16;16;16;16;16;16;20;20;20;21;21;40;40;43;44;44;44;47;47
Pop 80;0;0;8;22;22;31;31;31;31;31;31;31;31;31;31;31;33;33;35;36;41;56;63;80;104;104
Rock Internacional;0;0;0;30;30;30;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;32;32;32
Rock;4;4;4;4;4;4;12;17;17;17;17;17;17;17;17;17;17;17;19;19;38;45;45;45;80;80
Pop;0;0;0;1;2;14;18;18;18;18;18;18;39;40;40;40;40;40;67;67;120;121;121;124;141;143
Punk Rock;0;0;0;0;0;0;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
Rap;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;3;3;7;7;20;26;26;26;27;31
Tecnho;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;11;12;12;14;14;14;14;14;14;19;19
Bachata;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;11;11;11
Reggae;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Canciones de cancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;4;4;4
Cuarteto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
